species	tribe
Scolomys_melanops	Oryzomyini
Sigmodontomys_alfari	Oryzomyini
Sooretamys_angouya	Oryzomyini
Thalpomys_lasiotis	Akodontini
Thaptomys_nigrita	Akodontini
Thomasomys_aureus	Thomasomyini
Thomasomys_baeops	Thomasomyini
Thomasomys_cinereiventer	Thomasomyini
Thomasomys_cinereus	Thomasomyini
Thomasomys_daphne	Thomasomyini
Thomasomys_gracilis	Thomasomyini
Thomasomys_hylophilus	Thomasomyini
Thomasomys_incanus	Thomasomyini
Thomasomys_ischyrus	Thomasomyini
Thomasomys_ischyurus	Thomasomyini
Thomasomys_kalinowskii	Thomasomyini
Thomasomys_laniger	Thomasomyini
Thomasomys_monochromos	Thomasomyini
Thomasomys_niveipes	Thomasomyini
Thomasomys_notatus	Thomasomyini
Thomasomys_oreas	Thomasomyini
Thomasomys_paramorum	Thomasomyini
Thomasomys_pyrrhonotus	Thomasomyini
Thomasomys_taczanowskii	Thomasomyini
Thomasomys_vulcani	Thomasomyini
Transandinomys_bolivaris	Oryzomyini
Transandinomys_talamancae	Oryzomyini
Zygodontomys_brevicauda	Oryzomyini
Zygodontomys_brunneus	Oryzomyini
